1;Wolfsbane;Rahne Sinclair;;;;superhuman senses, superhuman speed, superhuman strength, lycanthropy, healing factor;superhero film character, werewolf in a work of fiction, animated character, mutant;;Earth-616, Marvel Universe;
2;Betsy Braddock;Elizabeth Braddock;;;;precognition, psychokinesis, telepathy;superhero film character, animated character, mutant;;Earth-616, Marvel Universe;
3;Nuke;Frank Simpson;;;;superhuman durability, superhuman speed, superhuman strength;television character, mutate;;Marvel Universe;
4;Ezekiel;Ezekiel Sims;;;;superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength;mutate, comics character;;Marvel Universe;
5;Warpath;James Proudstar;;;;flight, superhuman speed, superhuman strength;superhero film character, mutant;;Earth-616, Marvel Universe;
6;Black Cat;Felicia Hardy;;;;probability manipulation;superhero film character, animated character, mutate, comics character;;Earth-616, Marvel Universe;
7;Blade;Eric Brooks;;;;superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor;dhampir in a work of fiction, superhero film character, television character, animated character, comics character;;Marvel Universe;
8;Mister Fantastic;Reed Richards;;;;elasticity;film character, animated character, mutate;;Earth-616, Marvel Universe;
9;Cassandra Nova;Cassandra Xavier;;;;intangibility, telepathy;comics character;;Marvel Universe;
10;Cyclops;Scott Summers;;;;optic blasts;anime character, superhero film character, animated character, mutant;;Earth-616, Marvel Universe;
11;Havok;Alexander Summers;Honolulu;Catholicism;male;energy blasts;superhero film character, animated character, mutant;superhero, government agent;Earth-616, Marvel Universe;Starjammers, X-Men, Avengers, Brotherhood of Mutants, Defenders, X-Factor
12;Juggernaut;Cain Marko;;;;superhuman durability, immortality, superhuman strength;superhero film character, CGI character, animated character, mutate, comics character;;Earth-616, Marvel Universe;
13;Magneto;Max Eisenhardt;Germany;Judaism;male;electromagnetism manipulation, magnetism manipulation;superhero film character, animated character, comics character, mutant;teacher, head teacher, ruler, spy, orderly;Earth-616, Marvel Universe;X-Men, Brotherhood of Mutants, New Mutants, Hellfire Club, Excalibur, Acolytes, Savage Land Mutates\;"\
"http://www.wikidata.org/entity/Q838088,Iceman,Robert Louis Drake,\;superhero film character, animated character, mutant
14;Professor X;Charles Francis Xavier;;;;memory manipulation, telepathy;superhero film character, mutant;;Earth-616, Marvel Universe;
15;Meggan;Meggan Puceanu;;;;flight, power mimicry or absorption, shapeshifting, superhuman strength;mutant;;Earth-616, Marvel Universe;
16;Ghost Rider;John Blaze;;;;immortality, superhuman strength, pyrokinesis, healing factor;superhero film character, comics character;;Marvel Universe;
17;Ultimate Wolverine;James Howlett;;;;superhuman endurance, superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor;mutant;;Marvel Universe;
18;Warren Worthington III;Warren Kenneth Worthington III;;;;flight, healing factor;superhero film character, animated character, mutant;;Earth-616, Marvel Universe;
19;Sasquatch;Walter Langkowski;;;;superhuman durability, superhuman strength, healing factor;mutate, comics character;;Marvel Universe;
20;Mystique;Raven Darkhölme;;;;shapeshifting;superhero film character, animated character, mutant;;Marvel Universe;
21;Valeria Richards;Valeria Meghan Richards;;;;energy manipulation, teleportation, invisibility, force field, time travel;fictional human, comics character;;Earth-616, Marvel Universe;
22;Proteus;Kevin MacTaggert;;;;reality warping, body hopping;animated character, mutant;;Earth-616, Marvel Universe;
23;Kraven the Hunter;Сергей Николаевич Кравинов;;;;superhuman speed, superhuman strength;superhero film character, animated character, mutate;;Earth-616, Marvel Universe;
24;Banshee;Sean Cassidy;County Mayo;Catholicism;male;sonic scream;superhero film character, animated character, comics character, mutant;superhero, detective, head teacher, barker, criminal;Earth-616, Marvel Universe;Interpol, X-Men, New York City Police Department, Generation X, Factor Three, X-Corps
25;Korvus;Korvus Rook'shir;;;;superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength;comics character, Shi'ar;;Marvel Universe;
26;Storm;Ororo Munroe;;;;weather manipulation;anime character, superhero film character, animated character, comics character, mutant;;Earth-616, Marvel Universe;
27;Betty Ross;Elizabeth Ross;;;;superhuman durability, superhuman speed, superhuman strength, healing factor;gamma mutate, superhero film character, harpy in a work of fiction, animated character, comics character;;Marvel Universe;
28;Abomination;Emil Blonsky;;;;superhuman durability, superhuman speed, superhuman strength, healing factor;gamma mutate, mutate;;Marvel Universe;
29;Sunspot;Roberto da Costa;;;;flight, superhuman strength, photokinesis, thermokinesis;superhero film character, animated character, mutant;;Earth-616, Marvel Universe;
30;Colossus;Пётр Николаевич Распутин;;;;inorganic, superhuman durability, superhuman strength;superhero film character, CGI character, animated character, mutant;;Earth-616, Marvel Universe;
